"401","888","8",".3","","","Bischoff, Kat., [vol. 3]."
"356","941","8",".3","","","Bischoff, Kat., [vol. 3]."
"456","965","2","","","","Ker 1947."
"589","974","63",".5664","73 and 95","","Jacobs and Ukert 1836, no. 73 and 95."
"115","1036","8","","II.1175","","Bischoff, Kat., no. II.1175."
"171","1039","8","","2092","","Bischoff, Kat., no. 2092."
"528","1039","36","250","","","Geyer 1975, 250."
"533","1046","36","250","","","Geyer 1975, 250."
"244","1049","8","","3069","","Bischoff, Kat., no. 3069."
"529","1049","36","250","","","Geyer 1975, 250."
"532","1051","36","250","","","Geyer 1975, 250."
"530","1056","36","250","","","Geyer 1975, 250."
"531","1071","36","250","","","Geyer 1975, 250."
"547","1073","46","0","","","Mackay 1972, xci."
"79","1077","8","","626","","Bischoff, Kat., no. 626."
"205","1079","17","20","","","Colgrave 1940, 20."
"393","1094","8",".3","","","Bischoff, Kat., [vol. 3]."
"394","1095","8",".3","","","Bischoff, Kat., [vol. 3]."
"238","1141","8","","2872","","Bischoff, Kat., no. 2872."
"259","1142","8","","3288","","Bischoff, Kat., no. 3288."
"418","1150","8",".3","","","Bischoff, Kat., [vol. 3]."
"420","1151","8",".3","","","Bischoff, Kat., [vol. 3]."
"419","1152","8",".3","","","Bischoff, Kat., [vol. 3]."
"446","1155","8",".3","","","Bischoff, Kat., [vol. 3]."
"73","1162","8","93","440","","Bischoff, Kat., no. 440."
"77","1163","8","","495","","Bischoff, Kat., no. 495."
"85","1169","8","","752","","Bischoff, Kat., no. 752."
"95","1172","8","","845a","","Bischoff, Kat., no. 845a."
"96","1187","8","","886","","Bischoff, Kat., no. 886."
"82","1188","8","","647","","Bischoff, Kat., no. 647."
"588","1199","62","3839","","","Schipke 1972, 38-39."
"538","1202","39","","","","Van Els 1972."
"215","1221","8","","2483","","Bischoff, Kat., no. 2483."
"224","1228","8","","2669","","Bischoff, Kat., no. 2669."
"266","1237","8","","3560","","Bischoff, Kat., no. 3560."
"457","1240","1","","","","Gneuss, Handlist."
"458","1240","22","","","","Ker, CMCAS."
"459","1240","25","","","","SC."
"327","1265","8",".3","","","Bischoff, Kat., [vol. 3]."
"325","1266","8",".3","","","Bischoff, Kat., [vol. 3]."
"326","1267","8",".3","","","Bischoff, Kat., [vol. 3]."
"382","1292","8",".3","","","Bischoff, Kat., [vol. 3]."
"440","1312","8",".3","","","Bischoff, Kat., [vol. 3]."
"445","1314","8",".3","","","Bischoff, Kat., [vol. 3]."
"361","1320","8",".3","","","Bischoff, Kat., [vol. 3]."
"516","1362","2","37","","","Ker 1947, 37."
"153","1405","8","","1676","","Bischoff, Kat., no. 1676."
"204","1447","1","7677","433-433.3","","Gneuss, Handlist, no. 433-433.3."
"54","1452","8","143","673","","Bischoff, Kat., no. 673."
"452","1471","8",".3","","","Bischoff, Kat., [vol. 3]."
"102","1489","8","","1916","","Bischoff, Kat., no. 1916."
"541","1489","42","3233","","","Jones, LW 1932, 32-33."
"31","1497","1","","483","number(s)","Gneuss, Handlist, no. 483."
"275","1498","8","","3660","","Bischoff, Kat., no. 3660."
"313","1506","8",".3","","","Bischoff, Kat., [vol. 3]."
"396","1509","8",".3","","","Bischoff, Kat., [vol. 3]."
"408","1511","8",".3","","","Bischoff, Kat., [vol. 3]."
"409","1512","8",".3","","","Bischoff, Kat., [vol. 3]."
"424","1513","8",".3","","","Bischoff, Kat., [vol. 3]."
"425","1515","8",".3","","","Bischoff, Kat., [vol. 3]."
"86","1534","8","","726","","Bischoff, Kat., no. 726."
"27","1536","1","","12","number(s)","Gneuss, Handlist, no. 12."
"28","1537","1","","190","number(s)","Gneuss, Handlist, no. 190."
"556","1538","50","651","","","Whitbred 1966, 651."
"29","1541","1","","280","number(s)","Gneuss, Handlist, no. 280."
"19","1542","1","","326","number(s)","Gneuss, Handlist, no. 326."
"20","1543","1","","491-493","","Gneuss, Handlist, no. 491-493."
"217","1543","8","","2497","","Bischoff, Kat., no. 2497."
"178","1545","8","206","2857","","Bischoff, Kat., no. 2857."
"177","1545","12","194","","","Lendinara 2007, 194."
"185","1545","13","45","","","Lapidge 2008, 45."
"194","1545","14","138","","","Dionisotti 1982, 138."
"557","1550","50","651","","","Whitbred 1966, 651."
"559","1551","12","195","","","Lendinara 2007, 195."
"30","1552","1","","890","number(s)","Gneuss, Handlist, no. 890."
"307","1554","8",".3","","","Bischoff, Kat., [vol. 3]."
"558","1554","50","651","","","Whitbred 1966, 651."
"560","1555","12","19596","","","Lendinara 2007, 195-96."
"21","1559","1","","750","number(s)","Gneuss, Handlist, no. 750."
"472","1564","12","193","","","Lendinara 2007, 193."
"525","1569","11","7","","","Gryson, 7."
"107","1575","8","","976","","Bischoff, Kat., no. 976."
"174","1580","8","","2151","","Bischoff, Kat., no. 2151."
"191","1580","13","45","","","Lapidge 2008, 45."
"245","1585","8","","3072","","Bischoff, Kat., no. 3072."
"253","1587","8","","3185","","Bischoff, Kat., no. 3185."
"309","1594","8",".3","","","Bischoff, Kat., [vol. 3]."
"345","1595","8",".3","","","Bischoff, Kat., [vol. 3]."
"306","1596","8",".3","","","Bischoff, Kat., [vol. 3]."
"49","1610","8","22","71","","Bischoff, Kat., no. 71."
"286","1619","8","","3739","","Bischoff, Kat., no. 3739."
"18","1628","1","","765","number(s)","Gneuss, Handlist, no. 765."
"25","1629","1","","489","number(s)","Gneuss, Handlist, no. 489."
"565","1630","55","34","","","Bethmann 1845, 34."
"110","1632","8","48","213","","Bischoff, Kat., no. 213."
"76","1647","8","","546-547","","Bischoff, Kat., no. 546-547."
"22","1649","1","","69-69.5","number(s)","Gneuss, Handlist, no. 69-69.5."
"201","1650","14","137","","","Dionisotti 1982, 137."
"183","1652","13","48","","","Lapidge 2008, 48."
"192","1652","14","138","","","Dionisotti 1982, 138."
"193","1653","14","348","","","Dionisotti 1982, 348."
"23","1654","1","","438","number(s)","Gneuss, Handlist, no. 438."
"182","1654","13","45","","","Lapidge 2008, 45."
"181","1657","8","","3168-69","","Bischoff, Kat., no. 3168-69."
"195","1658","14","138","","","Dionisotti 1982, 138."
"390","1660","8",".3","","","Bischoff, Kat., [vol. 3]."
"198","1660","14","139","","","Dionisotti 1982, 139."
"203","1661","16","3","","","Jones, DO (CCSL 123A), 3."
