"215","95","Expositio Actuum Apostolorum","1","","","","","","","","1"
"216","95","In Lucae euangelium expositio","14","","","","","","","","1"
"217","100","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"218","110","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"219","110","Expositio in Cant. Habacuc","12","","","","","","","","1"
"220","110","De tabernaculo","22","pp. 1-175","","","","","","","1"
"221","114","Retractatio in Actus Apostolorum","3","1-26","","","","","","","1"
"222","115","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"223","115","In Regum librum XXX quaestiones","20","","","","","","","","1"
"224","116","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"225","116","De eo quod ait Isaias","13","","","","","","","","1"
"226","116","De mansionibus filiorum Israel","16","","","","","","","","1"
"227","116","Epistula ad Uuicthedum","36","","","","","","","","1"
"228","125","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"229","126","Commentary on Acts (Conflated with Arator)","50","","","","","","","","1"
"230","127","Commentary on Acts (Conflated with Arator)","50","","","","","","","","1"
"231","128","Commentary on Acts (Conflated with Arator)","50","","","","","","","","1"
"232","129","Commentary on Acts (Conflated with Arator)","50","","","","","","","","1"
"233","130","Commentary on Acts (Conflated with Arator)","50","","","","","","1","","1"
"234","130","Expositio Apocalypseos","4","134v-168v","","","","","3","","1"
"235","130","In epistulas VII catholicas","7","57v-134","","","","","2","","1"
"236","131","Expositio nominum locorum in Actus contentorum","2","","","","","","2","","1"
"237","131","De temporum ratione","31","","","","","","1","","1"
"238","132","Expositio nominum locorum in Actus contentorum","2","","","","","","","","1"
"239","133","Expositio nominum locorum in Actus contentorum","2","","","","","","","","1"
"240","134","Expositio nominum locorum in Actus contentorum","2","","","","","","","","1"
"241","134","De natura rerum","27","","","","","","","","1"
"242","134","De temporum ratione","31","","","","","","","","1"
"243","135","Expositio nominum locorum in Actus contentorum","2","","","","","","","","1"
"244","136","Expositio nominum locorum in Actus contentorum","2","","","","","","","","1"
"245","137","Expositio nominum locorum in Actus contentorum","2","","","","","","","","1"
"246","138","Expositio nominum locorum in Actus contentorum","2","","","","","","","","1"
"247","139","Expositio nominum locorum in Actus contentorum","2","","","","","","","","1"
"248","139","In epistulas VII catholicas","7","fols. 1-72","","","","","","","1"
"249","140","Expositio nominum locorum in Actus contentorum","2","","","","","","","","1"
"250","141","Expositio nominum locorum in Actus contentorum","2","","","","","","","","1"
"251","142","Expositio nominum locorum in Actus contentorum","2","","","","","","","","1"
"252","143","Expositio nominum locorum in Actus contentorum","2","","","","","","","","1"
"253","144","Expositio nominum locorum in Actus contentorum","2","","","","","","","","1"
"254","144","In Regum librum XXX quaestiones","20","fols. 67-78v","","","","","","","1"
"255","145","Expositio nominum locorum in Actus contentorum","2","","","","","","","","1"
"256","146","Expositio nominum locorum in Actus contentorum","2","","","","","","","","1"
"257","147","Expositio nominum locorum in Actus contentorum","2","","","","","","","","1"
"258","148","Expositio nominum locorum in Actus contentorum","2","","","","","","","","1"
"259","148","Expositio in Cant. Habacuc","12","","","","","","","","1"
"260","149","Poem on Psalm 122","119","1r-28r","","","","","1","1","1"
"261","152","Expositio Apocalypseos","4","","","","","1","","","1"
"262","154","Expositio Apocalypseos","4","231v-232v","epigram and pref. letter","","","2","","","1"
"263","157","Expositio Apocalypseos","4","","","","","","","","1"
"264","157","In epistulas VII catholicas","7","","","","","","","","1"
"265","160","Expositio Apocalypseos","4","","","","","","","","1"
