id,work,text_type,excluded?,repo_id,shelfmark,notes,citation,support,length,numbered_by,,,blank,binding,fragment?,,,dating,cent_begin,cent_end,year_begin,year_end,origin_country,origin_place,provenance,intials,timestamp,,,lk_entry,sm_alpha_part,sm_num_part,sm_suffix,sm_joined,lk_pages,references,locale_opinions
36,Exp.Act.apost.,,,10,Harley 3103,,"London, British Library, Harley 3103",,,,,,,,,1213,66,s. xii-xiii,12,13,1176,1225,,,,,7/20/2012 14:07:33,2,0,"London, British Library, Harley 3103 (s. xii-xiii).",Harley,3103,,Harley 3103,"21, 58",,Grimberg; Grimberg
37,Exp.Act.apost.,,,10,Harley 4980,,"London, British Library, Harley 4980",,,,,,,,,9,22,s. ix (1),9,9,801,850,,,,,7/20/2012 14:07:33,1,0,"London, British Library, Harley 4980 (s. ix1).",Harley,4980,,Harley 4980,21,"Bischoff, Kat., no. 2485.",French
38,Exp.Act.apost.,,,192,47,,"Madrid, Biblioteca Nacional, 47",,,,,,,,,12,58,s. xii (1),12,12,1101,1150,,,,,7/20/2012 12:10:49,1,0,"Madrid, Biblioteca Nacional, 47 (s. xii1).",,47,,47,21,,
39,Exp.Act.apost.,,,97,Cod. 1908 (olim 573; K 46),,"Melk, Stiftsbibliothek, Cod. 1908 (olim 573; K 46)",,,,,,,,,1415,90,s. xiv-xv,14,15,1376,1425,,,,,7/20/2012 14:48:28,2,0,"Melk, Stiftsbibliothek, Cod. 1908 (olim 573; K 46) (s. xiv-xv).",Cod.,1908,(olim 573; K 46),Cod. 1908 (olim 573; K 46),"21, 24",,
40,Exp.Act.apost.,,,86,38,,"Monte Cassino, Archivio della badia, 38",,,,,,,,,1011,42,s. x-xi,10,11,976,1025,,,,,7/20/2012 12:10:49,2,0,"Monte Cassino, Archivio della badia, 38 (s. x-xi).",,38,,38,"21, 28",,
41,Exp.Act.apost.,,,67,Clm 2545,,"Munich, Bayerische Staatsbibliothek, Clm 2545",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:09:14,1,0,"Munich, Bayerische Staatsbibliothek, Clm 2545 (s. xii).",Clm,2545,,Clm 2545,21,,Alderspach
42,Exp.Act.apost.,,,67,Clm 5257,,"Munich, Bayerische Staatsbibliothek, Clm 5257",,,,,,,,,11,43,s. xi,11,11,1001,1100,,,,,7/20/2012 14:09:14,1,0,"Munich, Bayerische Staatsbibliothek, Clm 5257 (s. xi).",Clm,5257,,Clm 5257,21,,Chiemsee
43,Exp.Act.apost.,,,67,Clm 6284,,"Munich, Bayerische Staatsbibliothek, Clm 6284",,,,,,,,,10,31,s. x,10,10,901,1000,,,,,7/20/2012 14:13:23,2,0,"Munich, Bayerische Staatsbibliothek, Clm 6284 (s. x).",Clm,6284,,Clm 6284,"21, 34","Bischoff, Kat., no. 3029.",Freising; Freising
44,Exp.Act.apost.,,,67,Clm 13101,,"Munich, Bayerische Staatsbibliothek, Clm 13101",,,,,,,,,1213,55,s. xii and s. xiii,12,13,1101,1300,,,,,7/20/2012 14:09:02,2,0,"Munich, Bayerische Staatsbibliothek, Clm 13101 (s. xii).",Clm,13101,,Clm 13101,"21, 24",,Regensburg; Regensburg
45,Exp.Act.apost.,,,67,Clm 14478,,"Munich, Bayerische Staatsbibliothek, Clm 14478",,,,,,,,,9,22,s. ix (1),9,9,801,850,,,,,7/20/2012 14:09:02,1,0,"Munich, Bayerische Staatsbibliothek, Clm 14478 (s. ix1).",Clm,14478,,Clm 14478,21,"Bischoff, Kat., no. 3214.",St Emmeram
46,Exp.Act.apost.,,,67,Clm 14495,,"Munich, Bayerische Staatsbibliothek, Clm 14495",,,,,,,,,1012,31,s. x and s. xii,10,12,901,1200,,,,,7/20/2012 14:13:23,1,0,"Munich, Bayerische Staatsbibliothek, Clm 14495 (s. x).",Clm,14495,,Clm 14495,22,"Bischoff, Kat., no. 3218.",St Emmeram
47,Exp.Act.apost.,,,67,Clm 17068,,"Munich, Bayerische Staatsbibliothek, Clm 17068",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:13:23,1,0,"Munich, Bayerische Staatsbibliothek, Clm 17068 (s. xii).",Clm,17068,,Clm 17068,22,,Scheftlarn
48,Exp.Act.apost.,,,67,Clm 18088,,"Munich, Bayerische Staatsbibliothek, Clm 18088",,,,,,,,,15,99,s. xv (2),15,15,1451,1500,,,,,7/20/2012 14:09:10,3,0,"Munich, Bayerische Staatsbibliothek, Clm 18088 (s. xv2).",Clm,18088,,Clm 18088,"22, 47, 72",,Tegernsee; Tegernsee; Tegernsee
49,Exp.Act.apost.,,,67,Clm 18575,,"Munich, Bayerische Staatsbibliothek, Clm 18575",,,,,,,,,,,,,,,,,,,,7/20/2012 14:09:14,1,0,"Munich, Bayerische Staatsbibliothek, Clm 18575 ().",Clm,18575,,Clm 18575,22,,Tegernsee
50,Exp.Act.apost.,,,197,81,,"Orléans, Bibliothèque municipale, 81",,,,,,,,,,22,s. ix (1),9,9,801,850,,,,,7/20/2012 12:10:49,3,0,"Orléans, Bibliothèque municipale, 81 (s. ix1).",,81,,81,"22, 28, 38","Bischoff, Kat., no. 3680.",Fleury; Fleury
51,Exp.Act.apost.,,,81,Nouv. acq. 1630,,"Paris, Bibliothèque nationale de France, Nouv. acq. 1630",,,,,,,,,9,22,s. ix1,9,9,801,850,,,,,7/20/2012 14:26:37,2,0,"Paris, Bibliothèque nationale de France, Nouv. acq. 1630 (s. ix1).",Nouv. acq.,1630,,Nouv. acq. 1630,"22, 153",,Fleury
52,Exp.Act.apost.,,,70,Auct. F 6 I,,"Oxford, Bodleian Library, Auct. F 6 I",,,,,,,,,1415,102,s. xv-xvi,15,16,1476,1525,,,,,7/20/2012 14:48:54,1,0,"Oxford, Bodleian Library, Auct. F 6 I (s. xv-xvi).",Auct. F,6,I,Auct. F 6 I,22,,
53,Exp.Act.apost.,,,70,Bodley 160,,"Oxford, Bodleian Library, Bodley 160",,,,,,,,,12,63,s. xii (2),12,12,1151,1200,,,,,7/20/2012 14:13:24,1,0,"Oxford, Bodleian Library, Bodley 160 (s. xii2).",Bodley,160,,Bodley 160,22,,
54,Exp.Act.apost.,,,70,Canon. Pat. Lat. 222,,"Oxford, Bodleian Library, Canon. Pat. Lat. 222",,,,,,,,,11,44,s. xi (in),11,11,1001,1025,,,,,7/20/2012 14:49:11,2,0,"Oxford, Bodleian Library, Canon. Pat. Lat. 222 (s. xiin).",Canon. Pat. Lat.,222,,Canon. Pat. Lat. 222,"22, 28",,
